2020-03-21 12:59:24 status half-installed debian-archive-keyring:all 2019.1
2020-03-21 12:59:24 status unpacked debian-archive-keyring:all 2019.1
2020-03-21 12:59:24 install liblz4-1:amd64 <none> 1.8.3-1
2020-03-21 12:59:24 status half-installed liblz4-1:amd64 1.8.3-1
2020-03-21 12:59:24 status unpacked liblz4-1:amd64 1.8.3-1
2020-03-21 12:59:24 install libapt-pkg5.0:amd64 <none> 1.8.2
2020-03-21 12:59:24 status half-installed libapt-pkg5.0:amd64 1.8.2
2020-03-21 12:59:24 status unpacked libapt-pkg5.0:amd64 1.8.2
2020-03-21 12:59:24 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2020-03-21 12:59:24 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2020-03-21 12:59:24 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2020-03-21 12:59:24 install libnettle6:amd64 <none> 3.4.1-1
2020-03-21 12:59:24 status half-installed libnettle6:amd64 3.4.1-1
2020-03-21 12:59:24 status unpacked libnettle6:amd64 3.4.1-1
2020-03-21 12:59:24 install libhogweed4:amd64 <none> 3.4.1-1
2020-03-21 12:59:24 status half-installed libhogweed4:amd64 3.4.1-1
2020-03-21 12:59:24 status unpacked libhogweed4:amd64 3.4.1-1
2020-03-21 12:59:24 install libffi6:amd64 <none> 3.2.1-9
2020-03-21 12:59:24 status half-installed libffi6:amd64 3.2.1-9
2020-03-21 12:59:24 status unpacked libffi6:amd64 3.2.1-9
2020-03-21 12:59:24 install libp11-kit0:amd64 <none> 0.23.15-2
2020-03-21 12:59:24 status half-installed libp11-kit0:amd64 0.23.15-2
2020-03-21 12:59:24 status unpacked libp11-kit0:amd64 0.23.15-2
2020-03-21 12:59:24 install libgnutls30:amd64 <none> 3.6.7-4+deb10u2
2020-03-21 12:59:24 status half-installed libgnutls30:amd64 3.6.7-4+deb10u2
2020-03-21 12:59:24 status unpacked libgnutls30:amd64 3.6.7-4+deb10u2
2020-03-21 12:59:24 install apt:amd64 <none> 1.8.2
2020-03-21 12:59:24 status half-installed apt:amd64 1.8.2
2020-03-21 12:59:24 status unpacked apt:amd64 1.8.2
2020-03-21 12:59:24 upgrade base-files:amd64 10.3+deb10u3 10.3+deb10u3
2020-03-21 12:59:24 status half-configured base-files:amd64 10.3+deb10u3
2020-03-21 12:59:24 status unpacked base-files:amd64 10.3+deb10u3
2020-03-21 12:59:24 status half-installed base-files:amd64 10.3+deb10u3
2020-03-21 12:59:24 status unpacked base-files:amd64 10.3+deb10u3
2020-03-21 12:59:24 install libdebconfclient0:amd64 <none> 0.249
2020-03-21 12:59:24 status half-installed libdebconfclient0:amd64 0.249
2020-03-21 12:59:24 status unpacked libdebconfclient0:amd64 0.249
2020-03-21 12:59:24 upgrade base-passwd:amd64 3.5.46 3.5.46
2020-03-21 12:59:24 status half-configured base-passwd:amd64 3.5.46
2020-03-21 12:59:24 status unpacked base-passwd:amd64 3.5.46
2020-03-21 12:59:24 status half-installed base-passwd:amd64 3.5.46
2020-03-21 12:59:24 status unpacked base-passwd:amd64 3.5.46
2020-03-21 12:59:24 install debianutils:amd64 <none> 4.8.6.1
2020-03-21 12:59:24 status half-installed debianutils:amd64 4.8.6.1
2020-03-21 12:59:24 status unpacked debianutils:amd64 4.8.6.1
2020-03-21 12:59:24 install bash:amd64 <none> 5.0-4
2020-03-21 12:59:24 status half-installed bash:amd64 5.0-4
2020-03-21 12:59:25 status unpacked bash:amd64 5.0-4
2020-03-21 12:59:25 install bsdutils:amd64 <none> 1:2.33.1-0.1
2020-03-21 12:59:25 status half-installed bsdutils:amd64 1:2.33.1-0.1
2020-03-21 12:59:25 status unpacked bsdutils:amd64 1:2.33.1-0.1
